Grid_ID,Longitude,Latitude,NDVI,EVI,NDWI,SAVI,VV,VH,VV_VH,Temperature,Rainfall,Soil_Moisture,ET,Crop,Growth_Stage,NDVI_N,EVI_N,NDWI_N,SAVI_N,VV_N,VH_N,VV_VH_N,Temperature_N,Rainfall_N,Soil_Moisture_N,ET_N,Stress_Class,Stress_Score
G0001,78.1356766491682,9.917517892350366,0.466599702835083,0.8936129280492497,-0.5224192142486572,0.6998116760828625,-9.355746051081493,-14.26554089060424,0.6558283434765168,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05,Maize,Maturity,0.46958354550266507,0.42314878973233117,0.5002137634832642,0.4695835508448476,0.40315242840857557,0.6370072126437778,0.6645095443716067,0.0,0.0,0.0,0.0,Mild Stress,0.45
G0002,78.1357677334242,9.917517040227795,0.5901338458061218,1.2664714494875549,-0.561855673789978,0.8850846123573396,-11.416718748420255,-15.005291522983104,0.7608461808911642,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05,Maize,Maturity,0.6752736189740544,0.6597548379129811,0.39941407694920905,0.6752703821328817,0.15941741361046147,0.5718441009249303,0.8478904786277341,0.0,0.0,0.0,0.0,Mild Stress,0.45
G0003,78.13585881767199,9.917516188080567,0.45610737800598145,0.8751416503554136,-0.48480701446533203,0.6840692524493357,-10.35892302489517,-12.21636465380694,0.8479546344965282,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05,Maize,Maturity,0.45211333837547807,0.41142741079447814,0.5963506376375726,0.45210658254561925,0.2845145857659596,0.8175149326853638,0.9999982538115545,0.0,0.0,0.0,0.0,Mild Stress,0.45
G0004,78.13567578975581,9.917427582436256,0.4630674719810486,0.8548518619189998,-0.49087271094322205,0.694516010305484,-9.420803391328539,-16.22554668805342,0.5806154684615285,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05,Maize,Maturity,0.4637022174227465,0.3985520535628863,0.5808467026826256,0.4637043936661878,0.3954586089764624,0.4643543332024287,0.5331736910738489,0.0,0.0,0.0,0.0,Mild Stress,0.45
G0005,78.13576687398695,9.917426730321594,0.41430193185806274,0.8385407094284139,-0.4434661865234375,0.6213823629553966,-12.76471931043907,-16.903957908852764,0.7551319862050807,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05,Maize,Maturity,0.38250533298634826,0.38820143232139737,0.7020178944367033,0.3825126746463589,0.0,0.4045944840893474,0.8379124178920325,0.0,0.0,0.0,0.0,Mild Stress,0.45
G0006,78.13585795820985,9.917425878182279,0.2648075520992279,0.5290055248618785,-0.3268858790397644,0.39716557207051506,-9.110868307834219,-13.740667313912233,0.6630586491683408,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05,Maize,Maturity,0.13359026208677208,0.19177868057459488,0.9999974439975672,0.13359104493590962,0.4321121911706791,0.6832422464770921,0.6771350206275017,0.0,0.0,0.0,0.0,Mild Stress,0.45
G0007,78.13594904242457,9.917425026018307,0.5042349100112915,0.9092760411363405,-0.5196805596351624,0.7562455892731123,-11.26317651335552,-14.715639212977539,0.7653881934957106,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05,Maize,Maturity,0.5322479097262475,0.43308818249569697,0.5072137713383323,0.5322355118635359,0.17757564490773298,0.5973589771688592,0.8558216885567311,0.0,0.0,0.0,0.0,Mild Stress,0.45
G0008,78.13604012663106,9.917424173829682,0.6483136415481567,1.1404665314401623,-0.6540352702140808,0.9723303069606571,-12.573678175996502,-15.621271393270721,0.8049074790041064,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05,Maize,Maturity,0.772145675337736,0.5797954860507405,0.16380280422201057,0.7721290536006585,0.022592930896431992,0.5175837010723001,0.9248298082826232,0.0,0.0,0.0,0.0,Mild Stress,0.45
G0009,78.1361312108293,9.917423321616399,0.4206211268901825,0.611323752437351,-0.5508543252944946,0.6308533101478078,-12.573678175996502,-15.621271393270721,0.8049074790041064,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05,Maize,Maturity,0.3930270855899298,0.24401562676194577,0.42753355046925734,0.39302715753023443,0.022592930896431992,0.5175837010723001,0.9248298082826232,0.0,0.0,0.0,0.0,Mild Stress,0.45
G0010,78.13622229501935,9.917422469378463,0.4126126170158386,0.6342319054652881,-0.5164409875869751,0.6188260021017865,-10.883406772875539,-14.398007879608985,0.7558967090363272,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05,Maize,Maturity,0.3796925454795385,0.2585525281532544,0.5154941253751751,0.37967464673909423,0.22248802217274316,0.6253384680347774,0.8392477680639018,0.0,0.0,0.0,0.0,Mild Stress,0.45
G0011,78.13631337920117,9.917421617115872,0.45358583331108093,0.825050824486108,-0.5391190052032471,0.6802731646748409,-10.547758745515177,-14.386217815619576,0.7331849747237345,31.21699875918307,0.0008848369776771715,25.33633804321289,2.97723581752507e-05,Maize,Maturity,0.4479148495926881,0.37964111203074585,0.4575290571737858,0.447892231106452,0.2621824717990152,0.626377030522306,0.7995888000318738,0.0,0.0,0.0,0.0,Mild Stress,0.45
